gene_name	strand	start	end	chr
AL669831.1	-	738531	739137	chr1
RP11-206L10.10	-	745488	753092	chr1
FAM87B	+	752750	755214	chr1
LINC00115	-	761585	762902	chr1
LINC01128	+	762987	794826	chr1
FAM41C	-	803450	812283	chr1
TUBB8P11	+	808671	809729	chr1
AL645608.2	+	818042	819983	chr1
RP11-54O7.16	+	840213	851356	chr1
RP11-54O7.1	+	846814	850328	chr1
RP11-54O7.2	+	849550	850351	chr1
RP11-54O7.3	-	852244	856396	chr1
SAMD11	+	860259	879955	chr1
AL645608.1	-	861263	866445	chr1
NOC2L	-	879583	894689	chr1
KLHL17	+	895966	901095	chr1
PLEKHN1	+	901876	911245	chr1
C1orf170	-	910578	917497	chr1
RP11-54O7.17	-	931345	933431	chr1
HES4	-	934341	935552	chr1
RP11-54O7.10	-	943455	943609	chr1
RP11-54O7.11	-	947376	948573	chr1
ISG15	+	948802	949920	chr1
AGRN	+	955502	991496	chr1
RP11-54O7.14	+	990412	991496	chr1
RP11-465B22.3	+	995113	1004735	chr1
RP11-54O7.18	-	997587	998668	chr1
RNF223	-	1006345	1009687	chr1
C1orf159	-	1017197	1051741	chr1
RP11-465B22.5	+	1072396	1079436	chr1
MIR200B	+	1102483	1102578	chr1
MIR200A	+	1103242	1103332	chr1
MIR429	+	1104384	1104467	chr1
RP11-465B22.8	+	1104736	1105723	chr1
TTLL10-AS1	-	1108435	1114935	chr1
TTLL10	+	1109263	1133315	chr1
TNFRSF18	-	1138887	1142071	chr1
TNFRSF4	-	1146705	1149518	chr1
SDF4	-	1152287	1167411	chr1
B3GALT6	+	1167628	1170421	chr1
FAM132A	-	1177825	1182102	chr1
RP5-902P8.12	-	1185156	1186714	chr1
UBE2J2	-	1189288	1209265	chr1
RP5-902P8.10	+	1210602	1215800	chr1
SCNN1D	+	1215815	1227409	chr1
ACAP3	-	1227755	1244989	chr1
PUSL1	+	1243946	1247057	chr1
CPSF3L	-	1246964	1260071	chr1
RP5-890O3.9	-	1252960	1254069	chr1
GLTPD1	+	1260135	1264277	chr1
TAS1R3	+	1266693	1270686	chr1
DVL1	-	1270655	1284730	chr1
MXRA8	-	1288068	1297157	chr1
AURKAIP1	-	1309109	1310875	chr1
RP5-890O3.3	+	1314045	1314412	chr1
CCNL2	-	1321090	1334708	chr1
RP4-758J18.2	+	1334901	1337426	chr1
MRPL20	-	1337287	1342693	chr1
RN7SL657P	-	1340840	1341132	chr1
RP4-758J18.13	+	1344475	1345998	chr1
ANKRD65	-	1353799	1357149	chr1
RP4-758J18.7	+	1355624	1358071	chr1
TMEM88B	+	1361507	1363167	chr1
RP4-758J18.10	-	1365918	1369953	chr1
VWA1	+	1370240	1378262	chr1
ATAD3C	+	1385068	1405538	chr1
ATAD3B	+	1407142	1433228	chr1
ATAD3A	+	1447530	1470067	chr1
TMEM240	-	1470553	1475833	chr1
SSU72	-	1477052	1510249	chr1
AL645728.2	-	1497725	1499904	chr1
AL645728.1	+	1510354	1511373	chr1
AL645728.3	+	1515135	1515379	chr1
C1orf233	-	1533391	1535476	chr1
RP11-345P4.9	-	1549137	1551175	chr1
MIB2	+	1550794	1565990	chr1
MMP23B	+	1567473	1570639	chr1
CDK11B	-	1570602	1590473	chr1
RP11-345P4.10	+	1590785	1594063	chr1
SLC35E2B	-	1592938	1624167	chr1
RP11-345P4.7	+	1603428	1604850	chr1
RP11-345P4.6	+	1604713	1605836	chr1
MMP23A	+	1631368	1633249	chr1
CDK11A	-	1634168	1655766	chr1
RP1-283E3.8	-	1634174	1669127	chr1
RP1-283E3.4	+	1655950	1668690	chr1
SLC35E2	-	1656276	1677431	chr1
NADK	-	1682670	1711896	chr1
GNB1	-	1716728	1822495	chr1
RP1-140A9.1	+	1822909	1824097	chr1
CALML6	+	1846265	1848735	chr1
TMEM52	-	1849028	1850712	chr1
C1orf222	-	1853395	1935276	chr1
RP11-547D24.1	-	1944651	1946969	chr1
GABRD	+	1950779	1962192	chr1
RP11-547D24.3	-	1980641	1981509	chr1
PRKCZ	+	1981908	2116834	chr1
RP5-892K4.1	-	2072522	2076718	chr1
RP11-181G12.2	-	2113232	2115828	chr1
C1orf86	-	2115902	2144159	chr1
AL590822.2	+	2121236	2123179	chr1
AL590822.1	-	2143359	2145620	chr1
RP11-181G12.5	-	2143609	2144013	chr1
RP11-181G12.4	+	2143961	2152177	chr1
SKI	+	2160133	2241558	chr1
MORN1	-	2252691	2323146	chr1
RP4-713A8.1	-	2257639	2258132	chr1
AL589739.1	+	2258580	2259042	chr1
RP4-740C4.6	-	2281852	2284259	chr1
RP4-740C4.5	-	2283082	2283296	chr1
RP4-740C4.7	-	2294499	2295067	chr1
RP4-740C4.9	-	2306291	2306792	chr1
RP4-740C4.8	-	2309055	2309799	chr1
AL513477.1	+	2316810	2319922	chr1
RER1	+	2323266	2336883	chr1
PEX10	-	2336235	2345236	chr1
PLCH2	+	2357418	2436969	chr1
RP3-395M20.2	-	2423738	2424697	chr1
RP3-395M20.3	-	2424875	2425918	chr1
PANK4	-	2439971	2458039	chr1
HES5	-	2460183	2461684	chr1
RP3-395M20.12	+	2477903	2478899	chr1
RP3-395M20.8	-	2481358	2488470	chr1
TNFRSF14	+	2487077	2496821	chr1
RP3-395M20.7	+	2497848	2501327	chr1
RP3-395M20.9	+	2512998	2515972	chr1
FAM213B	+	2517929	2522908	chr1
MMEL1	-	2522077	2564481	chr1
RP13-436F16.1	+	2564006	2568059	chr1
TTC34	-	2567414	2718286	chr1
RP11-740P5.2	-	2728414	2729257	chr1
RP11-740P5.3	-	2730996	2731563	chr1
ACTRT2	+	2938045	2939465	chr1
LINC00982	-	2976178	2985001	chr1
AL008733.1	-	2978522	2978959	chr1
PRDM16	+	2985731	3355185	chr1
RP1-163G9.2	-	3049490	3050273	chr1
RP11-22L13.1	-	3223199	3226660	chr1
ARHGEF16	+	3370989	3397677	chr1
RP11-168F9.2	+	3403809	3404191	chr1
MEGF6	-	3406483	3528059	chr1
MIR551A	-	3477258	3477354	chr1
RP11-46F15.2	-	3539753	3541307	chr1
TPRG1L	+	3541565	3546691	chr1
WRAP73	-	3547330	3569325	chr1
TP73	+	3569083	3652765	chr1
RP5-1092A11.5	-	3575501	3585336	chr1
RP5-1092A11.2	-	3628763	3630862	chr1
TP73-AS1	-	3652547	3663900	chr1
CCDC27	+	3668961	3688209	chr1
SMIM1	+	3689351	3692546	chr1
LRRC47	-	3696783	3713068	chr1
RN7SL574P	+	3699378	3699673	chr1
RP1-286D6.5	+	3701571	3702102	chr1
CEP104	-	3728644	3773778	chr1
DFFB	+	3773844	3801993	chr1
AL691523.1	+	3800627	3800697	chr1
C1orf174	-	3805688	3816857	chr1
LINC01134	+	3816935	3833789	chr1
RP13-614K11.1	+	4000672	4015322	chr1
RP13-614K11.2	-	4007208	4009040	chr1
RP11-374C13.1	-	4235587	4235959	chr1
RP5-1166F10.1	+	4472110	4484747	chr1
RP1-37J18.1	-	4611794	4612205	chr1
RP1-37J18.2	+	4631607	4643481	chr1
AJAP1	+	4714791	4852594	chr1
RP11-542C10.1	-	5146518	5150959	chr1
RP1-58B11.1	+	5553037	5554734	chr1
MIR4417	+	5624130	5624203	chr1
RP11-154H17.1	-	5647427	5728355	chr1
AL356693.1	-	5875930	5876019	chr1
MIR4689	-	5922731	5922801	chr1
NPHP4	-	5922870	6052533	chr1
AL356261.1	-	5953898	5953984	chr1
KCNAB2	+	6051525	6161253	chr1
AL035406.1	-	6100629	6101399	chr1
CHD5	-	6161852	6240183	chr1
RPL22	-	6241328	6269449	chr1
RP1-120G22.11	-	6264899	6265840	chr1
RNF207	+	6265534	6281359	chr1
ICMT	-	6281252	6296032	chr1
LINC00337	+	6296299	6299504	chr1
HES3	+	6304251	6305638	chr1
GPR153	-	6307405	6321035	chr1
ACOT7	-	6324328	6454451	chr1
RP1-202O8.3	+	6453614	6454451	chr1
HES2	-	6472477	6484730	chr1
ESPN	+	6484847	6521430	chr1
MIR4252	-	6489893	6489956	chr1
RP1-202O8.2	-	6503093	6507066	chr1
TNFRSF25	-	6521210	6526255	chr1
PLEKHG5	-	6526151	6580121	chr1
NOL9	-	6581406	6614595	chr1
RNU6-731P	+	6600913	6601024	chr1
RP11-58A11.2	+	6607964	6608679	chr1
TAS1R1	+	6615240	6639817	chr1
ZBTB48	+	6640060	6649340	chr1
KLHL21	-	6650783	6674667	chr1
PHF13	+	6673744	6684093	chr1
THAP3	+	6684925	6695646	chr1
DNAJC11	-	6694227	6761984	chr1
RP11-242F24.1	+	6784696	6790072	chr1
snoU13	+	6812778	6812881	chr1
RP11-312B8.1	-	6843951	6844903	chr1
CAMTA1	+	6845383	7829766	chr1
RP11-312B8.2	-	6894392	6894678	chr1
RP11-334N17.1	-	7068435	7074339	chr1
RNU1-8P	+	7279419	7279584	chr1
CAMTA1-IT1	+	7429002	7430331	chr1
RP3-453P22.2	-	7442547	7449814	chr1
RP4-549F15.1	-	7501155	7501614	chr1
RP11-338N10.1	-	7753183	7754904	chr1
RP11-338N10.2	-	7758362	7758932	chr1
RP11-338N10.3	-	7760763	7761030	chr1
VAMP3	+	7831328	7841492	chr1
RP3-467L1.6	+	7836442	7836835	chr1
PER3	+	7844379	7905237	chr1
RP3-467L1.4	-	7870301	7887402	chr1
UTS2	-	7903142	7913572	chr1
TNFRSF9	-	7979906	8000926	chr1
RP5-892F13.2	+	8002431	8002786	chr1
PARK7	+	8014350	8045565	chr1
Y_RNA	-	8042940	8043043	chr1
ERRFI1	-	8064463	8086368	chr1
RP11-431K24.1	+	8086797	8182762	chr1
CTA-215D11.4	-	8117304	8118523	chr1
RP11-431K24.2	+	8249883	8252830	chr1
RNU1-7P	-	8266493	8266657	chr1
RP11-431K24.3	+	8268731	8275270	chr1
RP11-431K24.4	-	8278249	8280589	chr1
RN7SL729P	-	8335183	8335438	chr1
RNU6-991P	-	8352216	8352323	chr1
SLC45A1	+	8377885	8404227	chr1
Y_RNA	+	8388126	8388239	chr1
RERE	-	8412456	8877702	chr1
RP5-1115A15.1	+	8484704	8494898	chr1
SNORA77	-	8571853	8571978	chr1
RP5-1115A15.2	+	8572711	8573080	chr1
RPL7P11	+	8810488	8811146	chr1
RPL7P7	-	8846269	8846972	chr1
Y_RNA	-	8856632	8856731	chr1
RP4-633I8.3	+	8858533	8859565	chr1
RP4-633I8.4	-	8865918	8867110	chr1
RP11-185B14.1	+	8891065	8891434	chr1
ENO1	-	8921060	8939308	chr1
ENO1-IT1	-	8935846	8938066	chr1
ENO1-AS1	+	8938893	8939953	chr1
RNU6-304P	-	8943485	8943592	chr1
HMGN2P17	+	8953467	8954210	chr1
RP3-477M7.5	-	8967451	8967803	chr1
RP3-477M7.6	+	8969800	8969963	chr1
CA6	+	9005925	9035151	chr1
RN7SL451P	-	9039636	9039933	chr1
SLC2A7	-	9063358	9086404	chr1
SLC2A5	-	9095165	9148537	chr1
SCARNA16	+	9142754	9142938	chr1
GPR157	-	9160363	9189229	chr1
MIR34A	-	9211726	9211836	chr1
RP3-510D11.1	-	9242065	9262678	chr1
RP3-510D11.2	+	9242262	9252148	chr1
H6PD	+	9294833	9331396	chr1
Z98044.1	+	9338449	9338592	chr1
SPSB1	+	9352938	9429591	chr1
RNA5SP40	-	9497727	9497837	chr1
RP13-392I16.1	-	9561150	9563530	chr1
SLC25A33	+	9599540	9645237	chr1
RP13-15M17.1	+	9636484	9637043	chr1
TMEM201	+	9648931	9674935	chr1
PIK3CD	+	9711789	9789172	chr1
C1orf200	-	9712667	9714644	chr1
RP11-558F24.2	-	9720885	9722684	chr1
RP11-558F24.4	-	9732483	9747613	chr1
CLSTN1	-	9789083	9884584	chr1
RP11-558F24.6	+	9840879	9841298	chr1
CTNNBIP1	-	9908333	9970394	chr1
RP11-84A14.5	+	9908375	9910212	chr1
LZIC	-	9982172	10003465	chr1
RP11-84A14.4	+	10002980	10010032	chr1
NMNAT1	+	10003485	10045559	chr1
RN7SKP269	+	10007375	10007694	chr1
MIR5697	+	10027438	10027516	chr1
RP11-807G9.2	+	10043198	10044626	chr1
RBP7	+	10057263	10076078	chr1
AL590639.1	-	10078084	10078592	chr1
UBE4B	+	10092889	10241297	chr1
RP11-496H15.2	-	10114502	10114839	chr1
PGAM1P11	+	10118728	10119706	chr1
RNU6-828P	+	10223325	10223432	chr1
KIF1B	+	10270862	10441661	chr1
MIR1273D	+	10287775	10287861	chr1
RNU6-37P	+	10359023	10359130	chr1
RN7SL731P	+	10366522	10366813	chr1
RN7SL721P	+	10450058	10450353	chr1
PGD	+	10458648	10480201	chr1
RP4-736L20.3	-	10489937	10490734	chr1
APITD1	+	10490158	10512210	chr1
APITD1-CORT	+	10490158	10512210	chr1
CORT	+	10509775	10511959	chr1
DFFA	-	10516578	10532583	chr1
RP5-1113E3.3	+	10518611	10519395	chr1
PEX14	+	10532344	10690815	chr1
RN7SL614P	+	10676892	10677170	chr1
CASZ1	-	10696660	10856707	chr1
RP4-734G22.3	+	10699297	10714390	chr1
HSPE1P24	+	10955817	10956055	chr1
C1orf127	-	11006527	11042094	chr1
CFL1P6	-	11051034	11051854	chr1
AL713997.1	-	11058232	11058320	chr1
Y_RNA	-	11059918	11060002	chr1
TARDBP	+	11072413	11085796	chr1
MASP2	-	11086579	11107290	chr1
RP4-635E18.8	+	11089715	11090585	chr1
SRM	-	11114640	11120081	chr1
EXOSC10	-	11126674	11159938	chr1
RP4-635E18.7	+	11128527	11133154	chr1
RP4-635E18.6	+	11159731	11162157	chr1
MTOR	-	11166591	11322564	chr1
MTOR-AS1	+	11203954	11209594	chr1
RNU6-537P	+	11212406	11212509	chr1
snoU13	-	11229563	11229670	chr1
ANGPTL7	+	11249397	11256038	chr1
RNU6-291P	+	11286310	11286417	chr1
RPL39P6	+	11293019	11293169	chr1
UBIAD1	+	11333262	11356106	chr1
UBE2V2P3	-	11338672	11339408	chr1
RP11-149P14.1	-	11485313	11485878	chr1
PTCHD2	+	11539222	11597641	chr1
RP1-69M21.2	+	11669587	11673412	chr1
FBXO2	-	11708423	11715842	chr1
FBXO44	+	11714431	11723384	chr1
FBXO6	+	11724180	11734411	chr1
MAD2L2	-	11734536	11751707	chr1
DRAXIN	+	11751785	11785914	chr1
AGTRAP	+	11796140	11814859	chr1
C1orf167	+	11821843	11849642	chr1
RP11-56N19.5	-	11837133	11839676	chr1
MTHFR	-	11845779	11866977	chr1
CLCN6	+	11866206	11903201	chr1
NPPA-AS1	+	11901073	11908136	chr1
NPPA	-	11905765	11908402	chr1
NPPB	-	11917520	11918988	chr1
RP5-934G17.6	+	11937826	11940463	chr1
RNU5E-1	+	11968208	11968328	chr1
RNU5E-4P	-	11969864	11969984	chr1
KIAA2013	-	11979647	11986485	chr1
PLOD1	+	11994261	12035595	chr1
MFN2	+	12040237	12073571	chr1
RP5-1077B9.5	-	12077272	12077365	chr1
MIIP	+	12079522	12092102	chr1
Y_RNA	-	12084068	12084181	chr1
RN7SL649P	-	12096798	12097071	chr1
TNFRSF8	+	12123433	12204264	chr1
RNU6-777P	-	12137937	12138041	chr1
RP11-426M1.2	-	12140349	12140604	chr1
TNFRSF1B	+	12227059	12269285	chr1
MIR4632	+	12251769	12251830	chr1
RP5-1118D24.2	-	12280850	12281166	chr1
SNORA70	-	12281204	12281328	chr1
VPS13D	+	12290123	12572099	chr1
SNORA59A	+	12567299	12567451	chr1
RP5-888M10.2	+	12587765	12588462	chr1
DHRS3	-	12627938	12677737	chr1
RNU6ATAC18P	-	12629999	12630100	chr1
RP11-474O21.5	-	12678905	12679250	chr1
AADACL4	+	12704565	12727097	chr1
RP11-474O21.2	+	12752924	12753036	chr1
AADACL3	+	12776117	12788726	chr1
snoU13	+	12799692	12799796	chr1
C1orf158	+	12806162	12823847	chr1
PRAMEF12	+	12834983	12838049	chr1
PRAMEF1	+	12851545	12856777	chr1
RP5-845O24.8	-	12882548	12883022	chr1
PRAMEF11	-	12884467	12891264	chr1
RP5-845O24.3	-	12897977	12901210	chr1
HNRNPCL1	-	12907260	12908578	chr1
PRAMEF2	+	12916940	12921764	chr1
PRAMEF4	-	12939044	12946025	chr1
PRAMEF10	-	12952726	12958101	chr1
PRAMEF7	+	12976449	12980569	chr1
RNU6-1072P	+	12982373	12982480	chr1
RP11-450I1.2	+	12985989	12988081	chr1
PRAMEF6	-	12998180	13117751	chr1
RP11-450I1.4	-	13012965	13015755	chr1
PRAMEF22	+	13035542	13038381	chr1
WI2-3308P17.2	-	13052393	13052998	chr1
PRAMEF23	-	13108841	13112679	chr1
RP13-221M14.6	-	13123245	13126086	chr1
PRAMEF25	+	13140455	13145000	chr1
RP13-221M14.2	+	13146776	13147256	chr1
RP13-221M14.3	-	13162644	13165443	chr1
RP13-221M14.4	-	13171870	13173157	chr1
HNRNPCP5	-	13182959	13184326	chr1
WI2-2994D6.1	+	13196269	13199067	chr1
PRAMEF26	-	13216355	13219581	chr1
PRAMEF3	-	13328195	13331692	chr1
RP11-248D7.2	+	13351481	13354323	chr1
PRAMEF5	+	13359818	13369057	chr1
RP11-219C24.8	-	13379148	13381237	chr1
RNU6-771P	-	13384734	13384841	chr1
PRAMEF8	-	13386645	13390765	chr1
RP11-219C24.6	+	13411550	13414482	chr1
PRAMEF9	+	13421175	13428191	chr1
RP11-219C24.10	+	13429633	13430113	chr1
PRAMEF13	-	13447413	13452656	chr1
PRAMEF18	-	13474688	13477522	chr1
PRAMEF16	+	13495253	13498260	chr1
PRAMEF21	+	13516065	13526943	chr1
XX-FW84067D5.1	-	13607430	13611550	chr1
XX-FW84067D5.2	+	13632347	13635279	chr1
PRAMEF15	+	13641972	13648988	chr1
PRAMEF14	-	13668268	13673511	chr1
PRAMEF19	-	13694888	13698405	chr1
PRAMEF17	+	13716091	13719089	chr1
PRAMEF20	+	13736906	13747803	chr1
LRRC38	-	13801444	13840543	chr1
RP4-597A16.2	+	13839714	13842765	chr1
RP4-597A16.3	+	13881495	13882189	chr1
PDPN	+	13909959	13944452	chr1
RNA5SP41	-	13949678	13949779	chr1
AL359771.1	-	13950396	13950497	chr1
CTA-520D8.2	-	13983805	13986405	chr1
SCARNA11	-	14022564	14022694	chr1
PRDM2	+	14026692	14151574	chr1
RNU6-1265P	-	14450727	14450830	chr1
RP11-344F13.1	-	14548385	14549613	chr1
RP4-704D23.1	-	14675449	14677518	chr1
KAZN	+	14925199	15444539	chr1
TBCAP2	-	15018624	15019109	chr1
TMEM51-AS1	-	15442447	15478960	chr1
TMEM51	+	15479027	15546976	chr1
C1orf195	-	15490839	15497813	chr1
RP1-21O18.3	-	15518323	15519341	chr1
FHAD1	+	15573767	15726779	chr1
RP3-467K16.2	-	15653175	15670372	chr1
RP3-467K16.7	-	15660661	15661960	chr1
RP3-467K16.4	-	15729474	15735929	chr1
EFHD2	+	15736390	15756839	chr1
CTRC	+	15764934	15775737	chr1
CELA2A	+	15783222	15798586	chr1
CELA2B	+	15792403	15817895	chr1
CASP9	-	15817326	15853029	chr1
DNAJC16	+	15853307	15918874	chr1
SCARNA21	+	15868659	15868799	chr1
RP4-680D5.8	-	15892105	15892451	chr1
AGMAT	-	15898847	15911605	chr1
RP4-680D5.2	-	15912630	15930121	chr1
CHCHD2P6	+	15931076	15931538	chr1
RNU7-179P	-	15934572	15934640	chr1
RP4-680D5.4	-	15941137	15941362	chr1
DDI2	+	15943994	15995539	chr1
RSC1A1	+	15986363	15988217	chr1
RP4-680D5.9	-	16009367	16009623	chr1
PLEKHM2	+	16010826	16061264	chr1
AL121992.1	+	16010966	16011053	chr1
RP11-288I21.1	-	16049213	16063391	chr1
SLC25A34	+	16062899	16067891	chr1
RP11-169K16.4	-	16066545	16076391	chr1
TMEM82	+	16068916	16074477	chr1
FBLIM1	+	16083101	16113089	chr1
RP11-169K16.6	+	16119290	16119780	chr1
RP11-169K16.7	-	16133678	16134194	chr1
RP11-169K16.8	+	16154723	16155167	chr1
RP11-169K16.9	-	16160559	16174642	chr1
SPEN	+	16174358	16266955	chr1
snoU13	+	16237391	16237492	chr1
RP1-134O19.3	-	16244192	16244403	chr1
ZBTB17	-	16268363	16302627	chr1
RP11-5P18.1	+	16296126	16296689	chr1
RP11-5P18.3	+	16314676	16314936	chr1
TBC1D3P6	+	16316365	16321246	chr1
C1orf64	+	16330730	16335302	chr1
RP11-5P18.5	-	16332654	16333166	chr1
HSPB7	-	16340522	16346089	chr1
CLCNKA	+	16345369	16360545	chr1
RP11-5P18.10	-	16361672	16366524	chr1
CLCNKB	+	16370271	16383803	chr1
FAM131C	-	16384263	16400127	chr1
EPHA2	-	16450831	16482582	chr1
RP11-276H7.2	+	16481705	16483824	chr1
RP11-276H7.3	+	16485760	16488378	chr1
ARHGEF19-AS1	+	16524348	16524852	chr1
ARHGEF19	-	16524348	16539104	chr1
ANO7P1	-	16542403	16554522	chr1
C1orf134	-	16555367	16556038	chr1
RSG1	-	16558194	16563657	chr1
MT1XP1	-	16567707	16567893	chr1
FBXO42	-	16573333	16678949	chr1
SZRD1	+	16679069	16724640	chr1
RP11-430L17.1	-	16695644	16696025	chr1
SPATA21	-	16713611	16763919	chr1
NECAP2	+	16767166	16786573	chr1
RP4-798A10.2	+	16787442	16794976	chr1
CROCCP3	-	16793930	16825752	chr1
RNU1-1	-	16840616	16840780	chr1
RP4-798A10.7	+	16841139	16842249	chr1
RP4-798A10.4	+	16847188	16848291	chr1
U1	-	16860380	16862144	chr1
FAM231B	+	16865560	16866070	chr1
RP5-875O13.6	-	16875145	16879026	chr1
AL355149.1	+	16875408	16875482	chr1
NBPF1	-	16888813	16940057	chr1
RP5-1182A14.5	+	16943885	16944224	chr1
CROCCP2	-	16944750	16971178	chr1
MST1P2	+	16972068	16976914	chr1
RNU1-3	-	16993279	16993443	chr1
FAM231A	+	16999497	17000007	chr1
AL021920.1	+	17007749	17007823	chr1
EIF1AXP1	-	17012115	17012550	chr1
ESPNP	-	17013833	17046652	chr1
FAM231C	-	17060446	17060956	chr1
CROCC	+	17066767	17299474	chr1
RNU1-4	+	17067010	17067174	chr1
CROCCP4	+	17076727	17077459	chr1
MST1L	-	17081404	17096732	chr1
RP11-108M9.1	-	17177751	17179624	chr1
RP11-108M9.2	+	17181901	17185779	chr1
MIR3675	-	17185443	17185516	chr1
U1	+	17197439	17200587	chr1
RP11-108M9.4	-	17215032	17216144	chr1
RP11-108M9.5	+	17215589	17216097	chr1
RNU1-2	+	17222474	17222638	chr1
RP11-108M9.6	-	17230833	17231271	chr1
MFAP2	-	17300996	17307330	chr1
RP1-37C10.3	+	17305420	17331586	chr1
ATP13A2	-	17312452	17338423	chr1
SDHB	-	17345216	17380665	chr1
PADI2	-	17393255	17445948	chr1
Y_RNA	+	17484691	17484779	chr1
RP11-380J14.1	+	17516277	17524112	chr1
PADI1	+	17531620	17572500	chr1
PADI3	+	17575592	17610728	chr1
MIR3972	+	17604383	17604470	chr1
PADI4	+	17634689	17690499	chr1
AC004824.2	-	17655506	17676070	chr1
PADI6	+	17698690	17728195	chr1
RP1-20B21.4	+	17733255	17733878	chr1
RCC2	-	17733255	17766220	chr1
AC004824.1	-	17740126	17740190	chr1
snoU13	+	17776258	17776359	chr1
ARHGEF10L	+	17866329	18024369	chr1
RP11-473A10.2	+	18044181	18076473	chr1
ACTL8	+	18081807	18153558	chr1
RP11-174G17.2	+	18392150	18400906	chr1
IGSF21	+	18434239	18704977	chr1
RP11-174G17	-	18493422	18505840	chr1
RP11-422P22.1	+	18712322	18715008	chr1
KLHDC7A	+	18807423	18812478	chr1
RP1-8B22.1	+	18839611	18839881	chr1
RP1-8B22.2	+	18921907	18922130	chr1
PAX7	+	18957499	19075360	chr1
TAS1R2	-	19166092	19186176	chr1
RP13-279N23.2	-	19175766	19247615	chr1
ALDH4A1	-	19197925	19229275	chr1
MIR4695	-	19209695	19209769	chr1
MIR1290	-	19223564	19223642	chr1
IFFO2	-	19230774	19283180	chr1
RP5-1126H10.2	-	19398603	19402005	chr1
UBR4	-	19400999	19536770	chr1
AL137127.1	-	19410045	19410145	chr1
RP1-43E13.2	+	19536994	19567198	chr1
EMC1	-	19542157	19578046	chr1
MRTO4	+	19578032	19586622	chr1
AKR7L	-	19592475	19600688	chr1
AKR7A3	-	19609051	19615744	chr1
RP4-657E11.10	+	19623573	19624397	chr1
AKR7A2	-	19630458	19638640	chr1
RNU6-1099P	-	19631569	19631676	chr1
PQLC2	+	19638819	19655794	chr1
RN7SL85P	-	19646298	19646554	chr1
CAPZB	-	19665266	19812066	chr1
RN7SL277P	+	19750877	19751163	chr1
RNU4-28P	+	19837086	19837227	chr1
snoU13	-	19858663	19858768	chr1
RP5-1056L3.1	-	19918295	19923326	chr1
MINOS1-NBL1	+	19923472	19984549	chr1
MINOS1	+	19923476	19956314	chr1
RPS14P3	+	19934607	19935062	chr1
NBL1	+	19967047	19984945	chr1
HTR6	+	19991779	20006055	chr1
TMCO4	-	20008705	20126438	chr1
RNF186	-	20140522	20141771	chr1
RP11-91K11.2	+	20140859	20145995	chr1
OTUD3	+	20209005	20239438	chr1
PLA2G2E	-	20246501	20250110	chr1
RN7SL304P	+	20297461	20297760	chr1
PLA2G2A	-	20301924	20306932	chr1
PLA2G5	+	20354671	20417683	chr1
PLA2G2D	-	20438431	20446050	chr1
PLA2G2F	+	20465818	20476879	chr1
RP3-340N1.2	+	20480830	20487061	chr1
PLA2G2C	-	20487745	20503917	chr1
UBXN10-AS1	-	20510734	20512979	chr1
UBXN10	+	20512577	20522541	chr1
RP3-340N1.6	+	20569587	20571148	chr1
VWA5B1	+	20617411	20681387	chr1
RP4-745E8.2	-	20620703	20649680	chr1
